"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7926","logout","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","234","has title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","6757","orange hrm add-admin","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1677","oragngehrm title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1333","get started link","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","2079","oragngehrm title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","9599","logout","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","386","get started link","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","8495","oragngehrm login test","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","643","has title","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","476","has title","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","5939","orange hrm add-admin","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","9235","oragngehrm login test","webkit","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","819","get started link","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","8981","oragngehrm login test","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","1002","oragngehrm title","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","5148","orange hrm add-admin","firefox","2026-03-12","passed","2026-03-12","","example.spec.js","",""
"","7516","logout","chromium","2026-03-12","passed","2026-03-12","","example.spec.js","",""
